xi_cruise,xi_spread,c_brake,wasserstein,median,mean,p90,frac_slow
13.0,0.65,300.0,0.6803586275920676,11.104532,10.998804,18.395132,0.007022471910112359
15.0,0.5,600.0,0.7862170506828818,11.428654,10.997682,19.148212,0.025607531916991177
13.0,0.5,600.0,0.9919589862700116,9.890906,9.480478,16.82191,0.03543374947674276
13.0,0.35,600.0,1.1051463838191944,10.792475,9.7701,15.611668,0.024357206186582603
15.0,0.35,600.0,1.1253931224256633,12.352169,11.127983,18.024769,0.016806308526367667
15.0,0.65,600.0,1.1912691729238114,9.665486,10.209599,19.891548,0.04554635924721648
13.0,0.5,300.0,1.2134411920042416,11.353898,11.065419,17.237415,0.002242705047318612
13.0,0.65,600.0,1.3255314811207857,8.905564,9.127086,17.765066,0.061372196647054476
13.0,0.65,150.0,1.4714807142768769,11.703338,11.798149,18.743814,0.0029338527156628287
13.0,0.2,600.0,1.5231437142188886,11.231696,9.614256,14.572004,0.023223740918606083
15.0,0.2,600.0,1.6795444361366536,13.142259,11.289741,16.723927,0.008527838710472482
13.0,0.35,300.0,1.750995477428332,11.439739,10.92788,15.866214,0.001059765865680838
17.0,0.35,1200.0,1.7656504078845972,11.530031,10.324928,19.733385,0.10224445046687526
13.0,0.5,150.0,1.8520644354505467,11.999754,11.833215,17.36033,4.930966469428008e-05
17.0,0.65,600.0,1.898461771644854,11.911632,12.25355,22.592518,0.022140496483860548
17.0,0.2,1200.0,1.938086411420318,13.550004,10.53309,18.695366,0.10065543071161048
17.0,0.5,1200.0,1.9988311755969896,8.967055,9.497296,20.451931,0.12829352376262004
17.0,0.35,600.0,2.0089413236694655,13.4951935,12.346819,20.066174,0.009273875295974744
15.0,0.65,300.0,2.0390680394377485,12.225937,12.471114,21.152037,0.004858439380487324
17.0,0.5,600.0,2.0878096741810293,12.920608,12.419182,21.885515,0.01918429747990334
15.0,0.2,1200.0,2.106950073367348,8.419525,8.350661,16.439697,0.15252652046567722
15.0,0.5,1200.0,2.2159209056305507,7.5595775,8.229082,18.10388,0.16078547172597077
15.0,0.5,300.0,2.2206571066056306,12.780353,12.61053,19.75473,0.000789188122718753
17.0,0.65,1200.0,2.2470764160215237,9.170717,10.401963,22.509758,0.12046400951814396
15.0,0.35,1200.0,2.2713788365509275,7.5409913,8.17398,17.322466,0.15560860363242604
17.0,0.2,600.0,2.282274621910266,14.587255,12.462799,18.868176,0.004734194693756781
15.0,0.35,300.0,2.29056189301766,13.127337,12.486117,18.314148,0.00039462325810827475
13.0,0.2,1200.0,2.347586908003533,10.443966,8.099922,14.314742,0.14158442645140648
19.0,0.65,1200.0,2.3483788028116814,9.179341,10.333483,22.37986,0.10242504067560239
13.0,0.35,150.0,2.357419441177308,12.117001,11.728839,16.07717,0.0003944189715525317
19.0,0.5,1200.0,2.3738654445353333,10.172166,10.685913,22.50197,0.10210338501746538
15.0,0.65,1200.0,2.395007090204433,6.6108704,8.498805,19.436674,0.16355715270256965
13.0,0.2,300.0,2.461158601611395,11.975537,11.035293,14.662317,0.0003203864353312303
19.0,0.2,1200.0,2.4943527540343364,12.151537,10.850453,20.426094,0.09258711617132437
19.0,0.35,1200.0,2.49900674724712,11.244926,10.672629,21.834507,0.09769137901298446
21.0,0.5,1200.0,2.5731976927719544,10.840983,10.973334,22.949236,0.08399040109701748
21.0,0.65,1200.0,2.57593817916724,8.774618,10.437061,23.300514,0.09793703083652859
19.0,0.65,600.0,2.7084277260521,13.180456,13.128181,23.61659,0.017844922882560406
19.0,0.5,600.0,2.744135833006892,13.128784,13.046247,23.361713,0.012206125620331847
13.0,0.65,1200.0,2.7613566420658593,6.504237,7.678104,17.121326,0.1703362936357598
21.0,0.65,600.0,2.8177477878615127,13.123205,13.163732,24.127941,0.022284749577940348
15.0,0.2,300.0,2.9156041387424123,13.818104,12.649419,16.882792,0.0001233380201781001
13.0,0.5,1200.0,2.951672349156744,7.030945,7.4910583,15.828945,0.1654490443509704
13.0,0.35,1200.0,2.9792556791382845,8.369249,7.462905,14.926667,0.17200915151664248
21.0,0.35,1200.0,3.084665354056298,10.785227,11.194044,23.068712,0.08260912995704725
19.0,0.35,600.0,3.1879497222964783,14.6623125,13.587199,22.625433,0.008093769278223318
13.0,0.2,150.0,3.2080181977373803,12.419949,11.880569,14.7318535,4.9304802287742826e-05
15.0,0.5,150.0,3.218610922307844,13.828534,13.609314,19.985111,0.000320757975770436
15.0,0.35,150.0,3.278425403773474,13.860154,13.501697,18.543388,7.402289774970391e-05
21.0,0.5,600.0,3.282760902664167,13.8939,13.693704,23.951363,0.007246376811594203
15.0,0.65,150.0,3.315109074625007,13.934679,13.747029,21.572138,0.00019743336623889436
17.0,0.5,300.0,3.52128948931432,14.095354,13.956936,22.29165,0.0006169183693613661
21.0,0.2,1200.0,3.617140019950541,16.333948,12.754847,22.83198,0.06358367246269576
15.0,0.2,150.0,3.699712925344996,14.141078,13.468052,16.965315,0.0007156429681909039
19.0,0.2,600.0,3.7398129110812697,16.491074,14.144158,21.178698,0.0028622893379722163
17.0,0.35,300.0,3.7966672666508403,14.875116,14.202407,20.707472,0.00019745773170430704
17.0,0.65,300.0,3.8064105667673886,14.354951,14.244759,23.845957,0.0016958028878525648
17.0,0.2,300.0,4.041428244134601,15.634247,14.296082,19.126842,0.0
19.0,0.65,300.0,4.174961973766711,14.587323,14.61331,24.406523,0.0024055809477988932
21.0,0.35,600.0,4.46687411041664,16.281563,14.905221,24.489595,0.004401740573986971
17.0,0.5,150.0,4.608036563597815,15.219641,15.043687,22.521774,0.0001481737584273825
17.0,0.65,150.0,4.60817440092611,15.011519,15.046522,24.048727,0.001096682535330625
21.0,0.65,300.0,4.65489000935268,15.376474,15.093238,24.360588,0.0013677900005820383
17.0,0.35,150.0,4.784118222271267,15.673911,15.1907215,20.921862,0.0
19.0,0.5,300.0,4.9446485538827885,15.673769,15.382995,24.204391,0.00035407182599898836
