k,k_domain,q_line,q_speed,dataset
0.07024793388429752,0.1,0.10330578512396695,0.09797804396313622,"colony 800, 10 mm bridge"
0.148,0.3052,0.2,0.2482247589870806,"colony 800, 10 mm bridge"
0.14979757085020243,0.20566801619433198,0.10121457489878542,0.15759118119395174,"colony 800, 10 mm bridge"
0.076,0.266,0.1,0.1909025674262998,"colony 800, 10 mm bridge"
0.512,0.4968,0.4,0.3414827957696538,"colony 800, 10 mm bridge"
0.228,0.2576,0.2,0.24298676841896497,"colony 800, 10 mm bridge"
0.0,0.15502008032128514,0.0,0.07778145354241228,"colony 800, 10 mm bridge"
0.24,0.37879999999999997,0.2,0.2703956120123626,"colony 800, 10 mm bridge"
0.3588709677419355,0.2721774193548387,0.20161290322580647,0.22570182106069797,"colony 800, 10 mm bridge"
0.0,0.191588785046729,0.0,0.07452573764589118,"colony 800, 10 mm bridge"
0.264,0.348,0.3,0.26051887646090055,"colony 800, 10 mm bridge"
0.08196721311475409,0.20450819672131146,0.10245901639344263,0.17139562143733966,"colony 800, 10 mm bridge"
0.096,0.1036,0.1,0.10242365228372821,"colony 800, 10 mm bridge"
0.096,0.1812,0.1,0.12929882613715915,"colony 800, 10 mm bridge"
0.26,0.3708,0.3,0.2778800046852362,"colony 800, 10 mm bridge"
0.304,0.2772,0.2,0.2214311603550757,"colony 800, 10 mm bridge"
1.86,1.044,1.2,0.837732954665651,"colony 800, 10 mm bridge"
1.08,1.0932,1.1,1.0998392401073036,"colony 800, 10 mm bridge"
0.536,0.5115999999999999,0.7,0.6452037577681342,"colony 800, 10 mm bridge"
0.816,0.9396000000000001,0.9,1.1653763328322908,"colony 800, 10 mm bridge"
0.628,0.6292,0.9,0.8080777498331954,"colony 800, 10 mm bridge"
0.224,0.2832,0.4,0.4513352173649992,"colony 800, 10 mm bridge"
0.632,0.4816,0.9,0.7971700826455839,"colony 800, 10 mm bridge"
0.608,0.6003999999999999,1.0,0.9686091297698652,"colony 800, 10 mm bridge"
0.364,0.4364,0.7,0.8073303678218163,"colony 800, 10 mm bridge"
0.47844827586206895,0.33275862068965517,0.5387931034482759,0.5132928018158179,"colony 800, 10 mm bridge"
0.36,0.4692,0.6,0.6658088365408662,"colony 800, 10 mm bridge"
0.476,0.48319999999999996,0.7,0.7721210875048158,"colony 800, 10 mm bridge"
0.528,0.546,1.2,1.100266733672238,"colony 800, 10 mm bridge"
0.548,0.6644,1.0,1.014201629051648,"colony 800, 10 mm bridge"
0.428,0.4772,0.7,0.7657289737840617,"colony 800, 10 mm bridge"
0.704,0.6384000000000001,1.1,1.1597916096946017,"colony 800, 10 mm bridge"
1.22,0.9640000000000001,1.6,1.4640924083775324,"colony 800, 10 mm bridge"
0.88,1.082,1.6,1.695364800216017,"colony 800, 10 mm bridge"
0.572,0.6376000000000001,1.1,1.0177234795718413,"colony 800, 10 mm bridge"
0.676,0.8768,1.1,1.2395669155863245,"colony 800, 10 mm bridge"
0.852,0.8928,1.6,1.5314102831749385,"colony 800, 10 mm bridge"
0.724,0.9512,1.4,1.5954013813174521,"colony 800, 10 mm bridge"
0.776,0.8012,1.6,1.355932604285369,"colony 800, 10 mm bridge"
0.68,0.8008,1.5,1.5653670966984974,"colony 800, 10 mm bridge"
0.516,0.6172,1.0,1.0076243010798889,"colony 800, 10 mm bridge"
0.548,0.6756,1.0,1.0981542072313963,"colony 800, 10 mm bridge"
0.932,0.9132,1.5,1.4819920063204857,"colony 800, 10 mm bridge"
0.536,0.5924,1.1,1.07401203826665,"colony 800, 10 mm bridge"
0.56,0.714,1.1,1.2049572617729547,"colony 800, 10 mm bridge"
0.976,0.9176,1.4,1.4088212634098662,"colony 800, 10 mm bridge"
0.976,0.9019999999999999,1.3,1.393643593132609,"colony 800, 10 mm bridge"
0.357429718875502,0.3899598393574297,0.7028112449799196,0.7346703059775819,"colony 800, 10 mm bridge"
0.464,0.716,0.7,1.0390149410738063,"colony 800, 10 mm bridge"
1.216,1.0476,1.9,1.7375237821302094,"colony 800, 10 mm bridge"
0.98,0.944,1.4,1.353145388112884,"colony 800, 10 mm bridge"
1.028,0.8916000000000001,1.3,1.328918041766404,"colony 800, 10 mm bridge"
0.66,0.8396000000000001,1.2,1.3292925517219822,"colony 800, 10 mm bridge"
0.46,0.49640000000000006,1.0,0.9041505176495173,"colony 800, 10 mm bridge"
0.432,0.7288,0.9,1.1116245162863505,"colony 800, 10 mm bridge"
1.784,1.3676,1.8,1.8211597158652386,"colony 800, 10 mm bridge"
0.604,0.8804000000000001,1.2,1.4132416188980506,"colony 800, 10 mm bridge"
0.868,0.7736,1.3,1.2691716515567981,"colony 800, 10 mm bridge"
0.5155555555555555,0.4746666666666667,0.6666666666666666,0.8327697413437947,"colony 800, 10 mm bridge"
0.856,0.6096,1.1,0.9754028738477273,"colony 800, 10 mm bridge"
0.376,0.47000000000000003,0.8,0.8602585909322277,"colony 800, 10 mm bridge"
0.876,0.8984,1.3,1.3026044061599216,"colony 800, 10 mm bridge"
