n_agents,seed,height,k_line,q_line,k_lines,q_lines,k_domain,q_domain,u_mean,u_from_flux,stopped_frac,segregation_raw,segregation_null,segregation_excess,contacts_per_ant_per_s,contacts_per_transit,n_transits,mean_duration,median_duration,T0,delta_T,d_contact,q_domain_std,q_domain_sem,q_lines_std,q_lines_sem,q_line_std,q_line_sem,contacts_per_transit_std,contacts_per_transit_sem,mean_duration_std,mean_duration_sem,delta_T_std,delta_T_sem,u_std,u_sem,n_seeds
10,2.5,10.0,0.98995148995149,1.2708333333333333,0.9896544896544897,1.259920634920635,1.0,1.2733634710311892,12.85536813735962,12.73363471031189,0.0004851004851004666,0.6190476190476191,0.533061224489796,0.08598639455782316,0.2349272349272349,0.6947964764056719,27.333333333333332,0.14979395311743984,0.15,1.4590292126695428,0.13928230584733867,2.5,0.039937563138011535,0.016304441876385804,0.04336123295126259,0.01770214922475828,0.07795119555779041,0.03182344232608221,0.21689664255644026,0.08854768353101829,0.007833898704788476,0.003198175753896966,0.043001702184349094,0.01755537140379668,0.39937563138011584,0.1630444187638582,6
20,2.5,10.0,2.0097020097020097,2.430555555555556,2.0415305415305416,2.427579365079365,2.0,2.4092626174290976,12.2127366065979,12.046313087145487,0.0005890505890505667,0.5006802721088435,0.4243537414965986,0.07632653061224483,0.44386694386694386,1.6311063726323576,54.833333333333336,0.1436186989353021,0.15,1.4802178136481636,0.13234944093160078,2.5,0.05978105459264973,0.024405513339576117,0.062249118538990865,0.02541309622642538,0.09742043287083427,0.03977172517576762,0.19404352582281154,0.07921793769274327,0.00823388556203552,0.003361469704576085,0.03755675717489678,0.015332481912018033,0.29890527296324837,0.12202756669788047,6
30,2.5,10.0,3.0176715176715176,3.402777777777778,3.024997524997525,3.4166666666666665,3.0,3.4197559356689453,11.6046191851298,11.399186452229818,0.0023677523677523168,0.4213151927437641,0.36253968253968255,0.0587755102040815,0.6248556248556248,2.055107119143047,75.5,0.14098377553273325,0.15,1.4797745978685912,0.12969917680071438,2.5,0.13676562508434192,0.055834332634904206,0.13447639282326587,0.05489975747784519,0.13608276348795428,0.055555555555555525,0.4337153346765343,0.1770635439296573,0.010047240315868946,0.0041017686828331,0.045701439747010145,0.01865753464845413,0.4558854169478063,0.18611444211634734,6
40,2.5,10.0,4.196465696465697,4.222222222222222,4.011286011286011,4.204365079365079,4.0,4.219136079152425,10.76445722579956,10.547840197881063,0.003490990990990933,0.3517006802721088,0.30829931972789115,0.04340136054421765,0.8385308385308385,3.45362936538467,90.66666666666667,0.1450830340416004,0.15,1.4872907367414994,0.13025920110774,2.5,0.1514243599201907,0.061818736072002556,0.17756329181492206,0.07248991033257797,0.2696019013011314,0.11006451531199402,0.8597925923099334,0.3510088559640234,0.008035214429499234,0.003280362554353626,0.017122414173486478,0.006990196314940073,0.3785608998004765,0.15454684018000628,6
50,2.5,10.0,4.855162855162855,5.055555555555555,5.011385011385012,5.031746031746032,5.0,5.044064044952393,10.320703824361166,10.088128089904783,0.0021760221760221167,0.34993197278911564,0.27994557823129257,0.06998639455782306,0.9717255717255718,3.3993512686549803,111.66666666666667,0.14280376907156256,0.15,1.4711332273540556,0.13299871486234835,2.5,0.13029113562690686,0.05319113338228004,0.12472570055096475,0.05091905402683906,0.20011570727030972,0.08169689538807079,0.8478109297598068,0.34611736271101934,0.0035603885971236798,0.0014535225581627739,0.012730689131621424,0.005197282074411327,0.2605822712538147,0.1063822667645605,6
60,2.5,10.0,6.085239085239085,5.618055555555556,6.039253539253539,5.586309523809523,6.0,5.598104000091553,9.572443326314291,9.330173333485922,0.005549780549780483,0.29274376417233555,0.2511111111111111,0.04163265306122447,1.1495726495726495,4.9426678092927885,119.83333333333333,0.1477095585832511,0.15,1.5047148522287352,0.13316279962827982,2.5,0.23229373938977377,0.09483352199133326,0.22907775022087748,0.09352059991098105,0.25333424707437563,0.10342327328406374,1.1188128791392886,0.45675344525756717,0.01056474102061805,0.004313037460860766,0.01791430815236894,0.007313485678047464,0.3871562323162893,0.15805586998555532,6
70,2.5,10.0,6.703395703395703,6.215277777777778,6.942579942579943,6.233134920634921,7.0,6.2696874141693115,9.209616661071777,8.956696305956159,0.0031878031878031336,0.2803692905733722,0.23399416909620985,0.04637512147716228,1.2692802692802692,4.999424301933304,136.66666666666666,0.1451050895961891,0.15,1.514550559079936,0.12445202419210154,2.5,0.14099188700470724,0.05755969683894588,0.17663299747620773,0.07211011925916963,0.2705661074830297,0.1104581508374087,0.9663169244422533,0.3944972324498478,0.0059704894554695005,0.0024374421134279443,0.009836532823594023,0.004015747709323935,0.20141698143529546,0.082228138341351,6
80,2.5,10.0,8.02009702009702,6.847222222222222,8.139342639342638,6.81547619047619,8.0,6.790824254353841,8.745723088582357,8.4885303179423,0.0027590090090089665,0.25943877551020406,0.22319727891156457,0.03624149659863942,1.3439015939015941,6.187586269352405,148.66666666666666,0.14976899417896752,0.15,1.5984956105649764,0.11912500952029735,2.5,0.05632100852911975,0.022992955449213783,0.04341567268764405,0.01772437415406931,0.18002057495577387,0.07349309197401639,1.2000105215290053,0.4899022439528651,0.0024490421863198057,0.0009998172858389422,0.009604939346961192,0.003921200068405999,0.07040126066139975,0.028741194311517254,6
90,2.5,10.0,9.05994455994456,7.284722222222222,9.002475002475002,7.245039682539683,9.0,7.248804410298665,8.323632717132568,8.054227122554073,0.0022522522522522,0.2320483749055177,0.21600907029478453,0.016039304610733118,1.4425964425964424,6.945295648381308,153.83333333333334,0.15081769061357245,0.15,1.557406660290873,0.12710877778605414,2.5,0.05173512486720294,0.021120776283970088,0.06426550240757245,0.026236281493692726,0.15902626151630395,0.06492219940289029,1.2781329715076337,0.5217956006034888,0.003051615783445449,0.0012458169267441466,0.017860880292790683,0.007291673845711498,0.057483472074669965,0.02346752920441122,6
100,2.5,10.0,10.035343035343034,7.597222222222221,9.952182952182952,7.621031746031746,10.0,7.660852988560994,7.931845188140869,7.660852988560994,0.004327789327789283,0.21102040816326528,0.20131972789115646,0.009700680272108768,1.5054054054054056,8.02866518664045,162.16666666666666,0.15541244376022895,0.15,1.4725258174352336,0.14218486863383914,2.5,0.026408081367527862,0.010781054072723844,0.04449048069261545,0.01816316268467576,0.12266334536566441,0.0500771010481109,0.3431417737330436,0.14008704251325274,0.0022464594043997395,0.0009171132114426616,0.016479751440821748,0.006727830352984862,0.026408081367527862,0.010781054072723844,6
